"","ID","U.1","U.2","U.4","R.3","U.3","R.1","R.2","R.4","logFC","logCPM","PValue","FDR"
"2666","PmetTSAr1.1-002690",6.70152313200634,9.43708983545183,8.31874843487055,16.7996858329587,4.92934618709832,6.55823160052499,16.6826879739558,13.1904000623574,0.00335274282328313,3.37614682794497,0.995737112380177,1
"2667","PmetTSAr1.1-002691",123.133677059629,132.645978989467,119.701335060781,171.22302750594,132.420163480687,138.783754016992,112.149913567934,137.606908885828,-0.0695493991896151,7.06091756663942,0.856032107162554,1
"2668","PmetTSAr1.1-002692",51.1331663364874,66.8936042289701,57.4130014931229,56.064525320764,59.9923837088898,53.7196323748885,63.996903587242,61.9172897044776,0.0498133728626926,5.88150227595911,0.883099102082174,1
"2669","PmetTSAr1.1-002693",56.4453493069803,61.6702847386503,60.6859516970064,47.1335447959826,55.8472516879207,54.2741887234623,46.4754212458806,53.4987108411495,-0.104834363034015,5.76997107280996,0.751296573002967,1
"2670","PmetTSAr1.1-002694",93.4126943888201,57.1053668647573,83.9375354370954,59.0152898113305,86.1515276790593,92.8037993765466,68.6568722950508,74.2541932922118,0.133118768917004,6.2665496398501,0.727466104175926,1
"2671","PmetTSAr1.1-002695",31.0558389044196,22.517335281799,32.3203832633495,15.5013494571095,34.3093697681559,34.9129388145595,14.4148365361555,15.4793224261194,-0.032554431555715,4.65172564361093,0.93519045226171,1
"2672","PmetTSAr1.1-002696",40.9446718187217,25.4143023940772,42.0028609498382,17.3898387310721,46.6327352359017,50.9950729231998,15.2846973616131,16.8759530209572,0.0457270637520813,5.0008441673749,0.919226914406687,1
"2673","PmetTSAr1.1-002697",42.9605771511138,27.2578269200725,43.8098022082322,16.6423117267952,48.0611253242086,52.3211859306589,14.8497669488843,15.5181177204204,0.00105968340043828,5.03360153016483,0.998957530064529,1
"2674","PmetTSAr1.1-002698",21.9570229447037,21.8589336653721,19.0922095226537,20.3012596950977,22.2380731395231,23.9905898622146,18.1428115024026,21.4150024541802,0.044166045154912,4.40528807960795,0.88874280108109,1
"2675","PmetTSAr1.1-002699",109.185791516591,82.1246282889784,123.41749727144,180.272038610344,116.763887806891,120.748617115548,158.438936065502,146.103078337758,0.130973357533006,7.01898314644786,0.746523716111469,1
"2676","PmetTSAr1.1-002700",187.615405732226,271.085892203491,240.630026448018,374.983151461194,200.898864773047,211.068968496308,247.630737132964,340.428707491723,-0.103380016113432,8.01875370713841,0.805612415701932,1
"2677","PmetTSAr1.1-002701",56.418107343029,51.2236457580106,74.3914306757686,80.6148858822774,63.2972862661489,74.2382172721192,81.2387878061348,70.1806873906014,0.13770732448834,6.10884605822398,0.712094238231317,1
"2678","PmetTSAr1.1-002702",19.6686979727991,10.7538930683056,15.3078608494134,12.1571497011341,18.4850482016187,18.4209152308864,12.8925800916046,10.0091859296712,0.0468449873296482,3.88601086543837,0.897234405705265,1
"2679","PmetTSAr1.1-002703",74.0164160555335,90.2449148915765,72.618582648665,74.4379522153582,70.3552137613124,63.4605351933153,81.2077213480828,68.2021273812478,-0.136387038344394,6.21683459527234,0.709821549384551,1
"2680","PmetTSAr1.1-002704",99.3242005662404,38.3628675171391,82.02831448483,23.5274288714504,80.8300744088963,88.3191262967758,17.7389475477258,21.5701836313844,-0.222587253993023,5.82126563113463,0.688400662107978,1
"2681","PmetTSAr1.1-002705",70.2570250302616,23.4390975447966,59.219942751517,15.5406929836504,53.9707392189685,61.4351989637414,11.7120546856263,14.0826918312816,-0.25456469632273,5.27753954624984,0.648911424913287,1
"2682","PmetTSAr1.1-002706",136.100851900422,87.8307756313447,127.440498563714,132.981119708198,132.196102290364,127.668515899926,133.927500662427,116.812631140465,0.0760958714954442,6.95927440532025,0.84259145773691,1
"2683","PmetTSAr1.1-002707",28.3588844732464,24.0097122790332,36.9570627188511,24.9044523003815,32.9369949774297,37.6374982662482,39.0194713133864,26.7299577734242,0.255030905035632,4.97215834994154,0.434620173747526,1
"2684","PmetTSAr1.1-002708",28.1681907255876,24.624220454365,35.3546808481998,25.5339487250357,36.8300581592857,40.3620577179369,44.9220983432776,30.1051483776157,0.421066183955676,5.05775722834043,0.187765504060667,1
"2685","PmetTSAr1.1-002709",1.71624372892845,12.7729913586813,9.17107921713187,21.5602525444061,5.65754505564694,4.82222911803308,3.7279749662471,26.6135718905211,-0.148186483709528,3.43250147311678,0.823841632931786,1
"2686","PmetTSAr1.1-002710",65.0265679516225,61.2313503276991,80.5623055393406,66.8053080664261,65.6499287645367,78.3371120224474,45.667693336527,69.2108050330752,-0.0799860739038499,6.05802252379564,0.826838445207866,1
"2687","PmetTSAr1.1-002711",93.5216622446251,88.664751012152,93.8586657426173,70.2281948754833,98.0827860637404,103.750259474482,71.8256510163609,74.0990121150076,0.00621888939535391,6.43997690105178,0.987236437859365,1
"2688","PmetTSAr1.1-002712",32.2817272822257,22.3417615174185,34.6387229911003,25.4552616719539,27.89561819517,35.419272871953,27.5870147502286,27.7386354252515,0.0482564515264184,4.86978370803815,0.882548725325388,1
"2689","PmetTSAr1.1-002713",56.7722528743952,66.9813911111604,54.5491700647249,42.13691692529,60.2164448992124,55.3833014206099,68.7811381272591,48.9984567022275,0.082378523666859,5.82762369579971,0.81192587183128,1
"2690","PmetTSAr1.1-002714",84.7225078883729,49.3362277909202,80.3236529203074,55.5137159491915,77.3851336076856,88.4396820247267,40.0757308871564,64.555369716949,0.00290534882249582,6.07926133125833,0.994473198089604,1
"2691","PmetTSAr1.1-002715",82.4886668443708,53.7694653415278,72.9595149615695,54.648158365292,72.5958256645389,78.2165562944965,49.5820670510865,62.1500614702839,-0.00734244583420848,6.04155854927199,0.984477772993711,1
"2692","PmetTSAr1.1-002716",40.1546548641356,35.5975807281462,40.8777843172532,41.5861075537175,38.1744253012217,37.758053994199,37.4972148688355,37.6702307663206,-0.0664643679758755,5.2753400297148,0.828746951395699,1
"2693","PmetTSAr1.1-002717",40.6994941431605,40.3819658075148,40.0595467662823,55.1989677368644,37.3902111350924,33.9002706997725,42.5921139893732,53.4211202525474,-0.07612343682225,5.42678507536924,0.815635535032958,1
"2694","PmetTSAr1.1-002718",37.757362036426,56.1397111606646,46.2304216298543,80.6148858822774,56.9955652883243,47.0167339008225,73.8139043316927,104.43693225843,0.354635459191297,5.97574546595859,0.370839921834228,1
