"","ID","F.1","F.2","W.1","W.4","F.3","F.4","W.2","W.3","logFC","logCPM","PValue","FDR"
"14325","PmetTSAr1.1-020170",10.3361712502689,12.7683348988655,11.0024776106296,12.4756801054965,11.2666710061348,10.2738995605531,18.6034301330652,7.45531408183392,0.0322876812930482,3.56558562878522,0.932442087908908,1
"14326","PmetTSAr1.1-020172",3.26640909640531,3.94011262540396,4.28340731406191,4.39166317615013,3.7676327480322,3.8527123352074,4.8123094745107,4.34673789223533,0.0797333050341875,2.0525086818207,0.803663478416091,1
"14327","PmetTSAr1.1-020173",7.56196078482873,5.62873232200565,6.691074170332,5.56650300671259,8.94812777657648,6.46875157516303,3.43736391036478,8.85153898055194,0.122090126395837,2.74415038217794,0.741666883388813,1
"14328","PmetTSAr1.1-020174",4.0718250379847,3.91048771844603,3.21955451710535,3.18885096866952,4.38349579338362,2.37821749086876,3.27070384198346,3.24029551966633,-0.111196360677001,1.8151900915371,0.722452796812041,1
"14329","PmetTSAr1.1-020175",4.74300498930086,4.29561150889905,5.15128722736857,3.21682334558768,5.7963580738957,10.0836421612836,2.47906851717218,6.29618397723784,0.496354650638558,2.40714005901636,0.215049495518749,1
"14330","PmetTSAr1.1-020176",5.68265692114348,9.68734457524131,9.57467517260897,7.83226553708304,4.85444988688765,4.75643498173753,12.0620224490982,11.3542062518389,0.0140362962671676,3.05336312534071,0.977827714965093,1
"14331","PmetTSAr1.1-020177",3.22166376631756,4.82885983414169,4.70334920759739,4.39166317615013,3.00686075083339,3.80514798539002,3.91651160696109,3.29298325169343,-0.293147067191961,1.98555481723787,0.350597325002045,1
"14332","PmetTSAr1.1-020179",7.51721545474098,7.08035276294395,7.53095795740296,8.39171307544611,5.90503978778124,5.1845141300939,8.83298362421011,6.1644646471701,-0.222706017261408,2.83634777397428,0.50315466280721,1
"14333","PmetTSAr1.1-020183",20.090653209397,15.5530761529104,18.5334355680326,17.1470670508282,18.7657092642373,17.2658589837072,14.7077510346517,23.577760082125,0.0597155485096038,4.19100804118857,0.856301238439668,1
"14334","PmetTSAr1.1-020186",4.69825965921311,4.50298585760452,4.03144217794062,3.72032613011444,4.41972303134547,3.28194013739889,3.91651160696109,2.89782526149022,-0.2215820515753,1.99762226852096,0.471612287656101,1
"14335","PmetTSAr1.1-020187",5.27994895035379,7.40622673948112,4.3393995665333,4.58746981457721,4.92690436281134,4.51861323265065,4.87480700015369,3.95157990203211,-0.242062483389354,2.33524776534964,0.454975734795149,1
"14336","PmetTSAr1.1-020188",6.21960088219641,7.99872487863961,4.75934146006878,8.41968545236426,6.66581178498005,6.61144462461516,7.33304300877821,9.11497764068741,0.118425335942653,2.84893843216277,0.732685678852934,1
"14337","PmetTSAr1.1-020189",9.30702865825074,10.1317181796102,7.95089985093844,6.60148095268427,9.6364452978516,10.5117213096399,6.49974266687159,9.2203531047416,0.0760935131177498,3.13547576318419,0.824594139811344,1
"14338","PmetTSAr1.1-020190",5.05622229991507,6.36935499595377,6.43910903421071,6.32175718350274,5.86881254981939,5.32720717954603,5.81226988479863,5.69027505892624,-0.092486583185861,2.56666595628285,0.774154734915988,1
"14339","PmetTSAr1.1-020195",15.2581575599207,14.5754542232989,11.6743846402864,9.51060815217226,12.8606694764561,14.2217405953952,8.5413285045428,11.933771304137,-0.102194060089736,3.62944088146453,0.769133667955821,1
"14340","PmetTSAr1.1-020196",5.63791159105574,5.03623418284716,4.53537245018319,4.19585653772305,6.84694797478929,7.65786032059742,2.97904872231615,6.92843676156297,0.327970092493111,2.4669816315292,0.362370940478824,1
"14341","PmetTSAr1.1-020197",2.9531917857911,6.45822971682754,2.2116939726202,6.09797816815751,2.46345218140567,4.18566278392902,10.6245793593093,3.39835871574762,0.225134181432826,2.2853802687789,0.638448963037536,1
"14342","PmetTSAr1.1-020198",3.04268244596659,5.48060778721603,2.49165523497719,3.52451949168737,3.87631446191775,2.56847489013826,2.6457285855535,4.34673789223533,-0.113225220735496,1.83226713661177,0.750728751581552,1
"14343","PmetTSAr1.1-020199",5.9063835715822,3.88086281148811,3.47151965322664,3.46857473785106,4.20235960357438,3.66245493593789,2.27074343169552,2.10750928108379,-0.454106025252096,1.87631399479753,0.198435393376156,1
"14344","PmetTSAr1.1-020200",8.32263139632038,7.19885239077565,5.99117101443953,6.18189529891197,6.26731216739972,4.4234845330159,5.62477730786965,8.50906872237582,-0.153317346418733,2.72836548116296,0.654060434538398,1
"14345","PmetTSAr1.1-020205",9.75448195912818,13.3608330380239,9.68665967755176,10.9651717519162,9.09303672842388,9.13235516493605,18.4159375561362,7.50800181386102,0.0144151646270993,3.46706841417262,0.973254148959648,1
"14346","PmetTSAr1.1-020208",15.1686668997452,19.0784400809034,15.3418771771629,13.286879036123,15.6139395615565,15.0303345422906,12.3953425858609,16.1751337323181,-0.0870063841434555,3.93746431963934,0.791665008749786,1
"14347","PmetTSAr1.1-020213",23.8045156066798,19.9079374757253,15.3418771771629,21.6226473577328,19.7438446892072,36.3391632604747,11.4995447183113,27.3976206540893,0.23443878664383,4.45983032592662,0.536816699916205,1
"14348","PmetTSAr1.1-020214",7.51721545474098,9.53922004045169,6.77506254903909,6.62945332960243,6.19485769147603,4.13809843411165,8.35383592761381,7.32359475176619,-0.22305502223354,2.83315756585629,0.522278525071284,1
"14349","PmetTSAr1.1-020216",3.53488107693177,4.68073529935207,3.94745379923352,4.61544219149536,3.15176970268079,3.09168273812939,4.41649181210506,4.08329923209985,-0.18234938372031,2.00252496537543,0.554395438309874,1
"14350","PmetTSAr1.1-020217",2.68471980526464,3.0217405097083,2.79961262356987,3.7482985070326,2.53590665732937,2.47334619050351,2.6457285855535,3.21395165365279,-0.172097510116121,1.56292395337331,0.574586419910392,1
"14351","PmetTSAr1.1-020218",3.49013574684403,1.92561895226509,4.08743443041201,1.95806638427076,6.59335730905636,8.32376121804067,0.333320136762646,12.4343047583944,1.27095348928829,2.30555874254448,0.0473145848211172,1
"14352","PmetTSAr1.1-020219",8.54635804675909,5.98423120550075,7.36298119998877,7.58051414481965,7.02808416459853,12.5094240019697,5.52061476513132,7.92950367007778,0.159301186882256,2.97423505079423,0.657411709480733,1
