"","ID","F.1","F.2","F.3","F.4","W.1","W.2","W.3","W.4","logFC","logCPM","PValue","FDR"
"1","PmetTSAr1.1-013766",7.69619677509196,6.72485387944886,6.26731216739972,12.8423744506913,0.699903155892468,1.14578797012159,1.44891263074511,1.09092269980799,-2.92562988803861,2.251035588804,7.00564275082252e-15,1.175406740733e-10
"2","PmetTSAr1.1-024147",6.3090915423719,2.69586653317113,13.8750321393878,58.0760711270152,0.643910903421071,0.145827559833657,0.158063196081285,0.0839171307544611,-6.28115304287221,3.35556786922398,1.3695382970317e-11,1.14890567737989e-07
"3","PmetTSAr1.1-021777",17.1374614236059,17.6268196399651,16.5920749865264,4.94669238100703,2.2676862250916,2.37490597443385,1.23816170263673,2.04198351502522,-2.82703198508288,3.01207131786976,1.08177277483156e-10,6.04999453870797e-07
"4","PmetTSAr1.1-005243",5.1904582901783,3.05136541666622,13.7301231875404,62.356862610579,0.811887660835263,0.0833300341906614,0.131719330067737,0.111889507672615,-6.20218553666696,3.41552949271813,4.97853520653117e-10,2.0882465923795e-06
"5","PmetTSAr1.1-009228",31.5454577118595,5.53985760113188,19.5264812614361,16.1718789379076,2.63163586615568,1.93742329493288,2.58169886932765,3.07696146099691,-2.82951712177217,3.37742270760466,1.65515175133732e-09,5.55402721678751e-06
"6","PmetTSAr1.1-031858",0.626434621228415,1.27387099919075,1.08681713885544,1.52205919415601,5.15128722736857,6.06225998737062,3.45104644777471,3.10493383791506,1.97462375005891,1.52205206679224,4.46783865176436e-08,0.000124935661498837
"7","PmetTSAr1.1-012381",133.430574321652,22.3371798462751,63.3252119573105,38.5746877018913,9.68665967755176,3.87484658986576,12.5396802224486,9.20291200607257,-2.8674339976479,5.19522143870766,6.01279936595978e-08,0.000144118211088676
"8","PmetTSAr1.1-006977",82.0629353809224,14.3088300606775,29.7787896046391,1.56962354397338,1.73575982661332,1.06245793593093,2.08116541507025,2.6573758072246,-4.08122364089832,4.08070844782985,1.94561370163776e-07,0.000383947330521037
"9","PmetTSAr1.1-007495",7.65145144500422,6.45822971682754,4.85444988688765,3.61489058612052,18.1694859269685,15.4785538509154,26.4228976115881,22.937349072886,1.87629684250318,3.73148134625527,2.0595577391163e-07,0.000383947330521037
"10","PmetTSAr1.1-002156",212.137609945994,31.8171500728109,59.3039885435454,15.9816215386381,6.35512065550361,2.1665808889572,12.4606486244079,6.43364669117535,-3.54119675956693,5.43773208312983,5.34779639298771e-07,0.000852065152539382
"11","PmetTSAr1.1-003206",73.0243787031981,37.68288165048,74.7730191532545,44.8056175279675,11.8703575239363,11.5828747525019,13.9359051211666,23.6366584958399,-1.91590516297553,5.18771757162369,5.5863134330273e-07,0.000852065152539382
"12","PmetTSAr1.1-007615",13.3341083661477,5.30285834546848,20.9031163039864,32.3437578758152,5.48724074219695,1.81242824364689,2.50266727128701,1.98603876118891,-2.6072931106696,3.38869025815794,8.17344097628613e-07,0.00107415938691106
"13","PmetTSAr1.1-008320",66.8942684811772,16.9158218729749,27.3515646611953,16.2670076375423,6.46710516044641,3.74985153857976,5.69027505892624,8.89521585997288,-2.3608863108347,4.25180936164631,8.32284660260088e-07,0.00107415938691106
"14","PmetTSAr1.1-009188",12.3944564343051,2.69586653317113,10.6508079607833,9.08479081511867,1.39980631178494,0.145827559833657,1.18547397060963,1.95806638427076,-2.89394086600616,2.30924084537506,9.28110308198081e-07,0.00111227391078196
"15","PmetTSAr1.1-006181",26.6234714022076,2.39961746359188,26.3372019982636,13.7460970972214,2.65963199239138,1.0832904444786,3.66179737588309,1.79023212276184,-2.9087359706518,3.29349615110238,1.24433891880408e-06,0.00139183455864633
"16","PmetTSAr1.1-000063",12.4392017643928,4.82885983414169,80.6056044651121,23998.2121855581,7.97889597717414,1.58327064962257,6.40155944129203,8.86724348305472,-9.92172869370215,11.5579812560967,1.45462201345665e-06,0.00147826021405002
"17","PmetTSAr1.1-009205",13.1551270457967,10.3687174352736,14.4546679467774,6.84926637370204,0.643910903421071,0.58331023933463,3.45104644777471,2.88115482256983,-2.56874468600738,2.71852008551817,1.49781998085888e-06,0.00147826021405002
"18","PmetTSAr1.1-008197",58.5268917547691,9.27259587783037,30.6120160777617,23.6394818592355,5.62722137337544,4.99980205143969,6.48059103933267,8.3357683216098,-2.26126568356404,4.20606443120267,1.75561211626494e-06,0.00163642556037184
"19","PmetTSAr1.1-006107",59.7797609972259,11.4944638996747,9.38285463211866,7.84811771986692,1.37181018554924,0.958295393192606,2.63438660135474,4.83922120684059,-3.17359592382263,3.62063503924687,2.26160828827678e-06,0.00189726319303539
"20","PmetTSAr1.1-018779",39.5548717975657,6.75447878640679,13.2591690940364,3.28194013739889,1.56778306919913,0.499980205143969,3.02954459155795,1.67834261508922,-3.21224948910142,3.12415201506718,2.16297875928079e-06,0.00189726319303539
"21","PmetTSAr1.1-009144",59.7797609972259,9.03559662216697,21.95370620488,13.5082753481346,0.307957388592686,0.604142747882295,3.47739031378826,4.41963555306828,-3.56422974178454,3.82233123994401,2.66354250308469e-06,0.00212804362460738
"22","PmetTSAr1.1-007756",2.01353985394848,3.08099032362415,2.7894973230623,2.04526704214714,7.58695020987436,4.79147696596303,11.2488307877848,7.21687324488365,1.62662207487609,2.37249379804291,3.61018746802963e-06,0.00275326024266369
"23","PmetTSAr1.1-008285",76.6934957703931,25.5959196116468,38.4370994775208,11.0349291576311,2.09970946767741,3.60402397874611,7.11284382365781,11.0211165057526,-2.67014918341538,4.4578083625003,4.08536244760681e-06,0.00298018309330204
"24","PmetTSAr1.1-021894",6.53281819281062,4.65111039239415,4.92690436281134,5.51746457881553,1.73575982661332,2.06241834621887,2.58169886932765,1.81820449967999,-1.39465213110878,1.91385492332264,5.00559195688509e-06,0.00349932591052575
"25","PmetTSAr1.1-008375",153.297500880611,30.5432790736202,50.3558607669689,19.644076474576,6.7190702965677,6.02059497027529,9.48379176487708,19.0771610581808,-2.61946597032779,5.20600078649282,7.52594263877762e-06,0.00505081062373644
"26","PmetTSAr1.1-005061",2.9531917857911,2.60699181229736,34.4158760637557,314.638174041937,2.2956823513273,3.43736391036478,1.92310221898896,3.94410514545967,-4.93193362476374,5.5158929787423,8.48498119500182e-06,0.00544228649550874
"27","PmetTSAr1.1-009307",19.0615106173789,14.9309531067939,11.2304437681729,15.4108493408296,4.25541118782621,3.45819641891245,7.03381222561716,5.48258587595812,-1.58337924054336,3.34260311200165,8.75800067819383e-06,0.00544228649550874
"28","PmetTSAr1.1-007579",35.7067734100197,10.4872170631053,16.6283022244883,9.75069171256193,4.59136470265459,3.10404377360214,4.39942562426242,6.37770193733904,-1.97356133101532,3.5120432758074,1.06715377298822e-05,0.0063945378582844
"29","PmetTSAr1.1-006108",87.9245736224169,14.7532036650464,14.5995768986248,10.1787708609183,1.67976757414192,0.374985153857976,3.42470258176117,6.37770193733904,-3.42575216339539,4.12295224981279,1.13947698753653e-05,0.00659246375754756
"30","PmetTSAr1.1-001166",600.974528408489,2383.29413985807,228.050462969834,48.801022912627,47.5654184744521,34.4569691378385,69.5741501417788,83.4136279699343,-3.79453429490128,8.77174393404932,1.35194369925085e-05,0.00702101091164324
"31","PmetTSAr1.1-007578",19.5089639182564,3.46611411407717,13.9474866153115,11.9862161539786,3.13556613839826,0.645807764977626,3.24029551966633,2.74129293797906,-2.32452980660001,2.87843681308677,1.46462857258024e-05,0.00702101091164324
"32","PmetTSAr1.1-007757",2.90844645570336,3.22911485841377,2.75327008510046,2.23552444141664,6.5510935391535,5.228959645464,12.1445222322454,8.22387881393719,1.52562324619412,2.45669950815343,1.33842936201273e-05,0.00702101091164324
"33","PmetTSAr1.1-009293",1.20812391236909,1.15537137135906,2.13740703974904,1.42693049452126,3.94745379923352,3.45819641891245,6.26984011122429,3.16087859175137,1.50239683265793,1.54845086747488,1.46162617617385e-05,0.00702101091164324
"34","PmetTSAr1.1-021573",37.1386239728275,7.3766018325232,11.8100795755625,7.65786032059742,2.74362037109848,0.666640273525291,4.50480108831661,2.74129293797906,-2.58549001258556,3.22466021928381,1.27405730325988e-05,0.00702101091164324
"35","PmetTSAr1.1-021651",16.3767908121143,16.7380724312273,13.4403052838456,5.51746457881553,3.80747316805503,4.2081667266284,3.45104644777471,4.8951659606769,-1.67058677392338,3.10442446887913,1.45874405656567e-05,0.00702101091164324
