"","ID","F.1","F.2","W.3","W.4","F.3","F.4","W.1","W.2","logFC","logCPM","PValue","FDR"
"1","PmetTSAr1.1-007313",21.2987771217661,3.94011262540396,40.9910555170798,3.04898908407875,1.48531675643577,0.951286996347505,0.699903155892468,0.249990102571984,-4.36126129996685,3.19304162827192,2.32246009911682e-08,0.00038966235542982
"2","PmetTSAr1.1-001997",64.65700197679,47.4294760396371,127.346248309488,93.3997665297152,13.0055784283035,26.7311645973649,14.9499314098631,8.89548114985311,-2.38996973290994,5.63278914877492,6.56470997362686e-08,0.000550713519687557
"3","PmetTSAr1.1-010024",12.573437754656,6.42860480986962,5.24242933669594,6.0420334143212,2.31854322955828,0.808593946895379,1.90373658402751,1.58327064962257,-2.1805563246387,2.22149386442172,1.09260456368231e-07,0.000611057312315392
"4","PmetTSAr1.1-033779",13.1551270457967,5.39173306634226,5.58489959487206,6.88120472186581,2.42722494344382,1.33180179488651,2.07171334144171,1.66660068381323,-2.03918908042053,2.28209035809869,1.85841015491818e-07,0.000779510139480429
"5","PmetTSAr1.1-001712",5.05622229991507,7.93947506472376,43.0722209321501,11.8043430594609,2.24608875363458,1.33180179488651,2.96758938098407,1.97908831202821,-2.98843347364782,3.26805111022846,4.06988310322035e-07,0.00136568997411662
"6","PmetTSAr1.1-004034",74.1430119553917,15.2272021763732,51.8183844486478,53.2314332752465,12.9331239523798,3.90027668502477,4.67535308136169,1.04162542738327,-3.10901417289856,4.76409808452759,7.94513565219842e-07,0.00222172476620975
"7","PmetTSAr1.1-001118",1.65557721324653,2.31074274271811,2.63438660135474,3.91613276854152,7.89753787568289,487.10650647974,15.145904293513,4.77064445741537,5.61035642660275,6.036929481851,2.06458281414336e-06,0.00432994630696217
"8","PmetTSAr1.1-001482",1.8345585335975,1.4516204409383,3.21395165365279,2.74129293797906,10.1798538672793,1562.0132480026,5.62722137337544,5.99976246172762,7.41809405787164,7.63739516330701,1.88252367280297e-06,0.00432994630696217
"9","PmetTSAr1.1-000098",5.36943961052927,2.07374348705471,7.00746835960362,9.25885675990887,51.7324958095191,10787.4042811814,21.6410055801951,2.0415858376712,8.83867599049031,10.4102268987232,2.78476155862892e-06,0.00480355605151607
"10","PmetTSAr1.1-014843",17.4506787342201,4.97698436893132,21.6283139971224,26.8255094645094,172.876379553939,33189.737401667,55.7682834615119,6.70806775234824,8.88097305855562,12.0316902606363,2.86300873257604e-06,0.00480355605151607
"11","PmetTSAr1.1-000063",12.4392017643928,4.82885983414169,6.40155944129203,8.86724348305472,80.6056044651121,23998.2121855581,7.97889597717414,1.58327064962257,9.53157249106352,11.5579835059893,4.76275152898061e-06,0.00639489761513757
"12","PmetTSAr1.1-014463",7.65145144500422,4.85848474109962,3.02954459155795,5.14691735294028,1.23172609070284,0.0951286996347505,0.0279961262356987,0,-3.9448330267533,1.48853280053521,4.30064012742059e-06,0.00639489761513757
"13","PmetTSAr1.1-014673",46.4009073009905,34.8388905825192,36.6179737588309,81.539478716418,17.2441652698397,1.85500964287764,4.4513840714761,1.35411305559825,-3.00148580537682,4.81257880747554,4.95492126575208e-06,0.00639489761513757
"14","PmetTSAr1.1-005796",33.5142522357202,13.4793326658556,2.87148139547667,58.8259086588772,5.03558607669689,3.90027668502477,2.2396900988559,1.29161552995525,-3.12655837012316,3.925990133715,5.99686714545402e-06,0.0071868169261734
