"","ID","F.1","F.2","F.4","W.4","F.3","W.1","W.2","W.3","logFC","logCPM","PValue","FDR"
"969","PmetTSAr1.1-000778",266.995384633568,231.163148992685,263.601626687894,192.310091312307,280.543730776552,204.735671161665,165.805935530869,206.219783154049,-0.154289446608472,7.82321172045612,0.735154345581662,1
"970","PmetTSAr1.1-000779",358.902292633794,362.312612095417,2450.56286694099,341.235026024557,446.754298545511,375.987975345434,320.716469091308,449.531729655173,-1.14094323078214,9.31803722720232,0.0804888877255516,1
"971","PmetTSAr1.1-000780",106.270158958392,89.5264688268478,117.008300550743,85.3157496003688,100.421903630243,95.9707207359752,87.5798659343852,100.47550497567,-0.0503402491525155,6.61290941861302,0.904278405893147,1
"972","PmetTSAr1.1-000781",103.003749861987,110.915651650469,137.936614470388,120.560944517242,118.064568517663,124.274804360267,128.453247704905,108.405008645748,0.0205861835934734,6.89497101215176,0.961693245384763,1
"973","PmetTSAr1.1-000782",96.9183849700534,28.6176601213551,355.638643584515,25.2031116032565,143.0975899493,117.527737937463,5.04146706853502,216.072389043116,-0.0718642852647491,6.94892695660272,0.933412881394437,1
"974","PmetTSAr1.1-000783",120.633409916558,60.4644351011239,319.727559472396,56.8958146515246,139.076366535535,55.6842950828048,44.4357407321702,53.4517041414877,-0.930327405803025,6.73230578613431,0.120628753259833,1
"975","PmetTSAr1.1-000784",490.587799082025,214.3954516545,6.70657332424991,65.9588647730064,101.798538672793,75.7575175938008,17.2493170774669,85.1170310897718,-1.47409360407092,7.04694959671139,0.0786175661318271,1
"976","PmetTSAr1.1-000785",374.563158164505,316.127382148012,164.049442520127,414.466708796283,287.281997037456,302.302171093075,337.361643420893,359.330332424787,0.0192471451173915,8.31968169407491,0.968189934608717,1
"977","PmetTSAr1.1-000786",51.6808562513443,20.5004356148838,118.863310193621,21.1471169501242,65.9698003285254,43.7579453063971,6.66640273525291,93.9158823382966,-0.012579324803432,5.72389443901729,0.984680062760682,1
"978","PmetTSAr1.1-000787",118.933087373223,116.307384716812,109.112618481059,141.400365321267,119.549885274099,138.580824866709,132.890572025557,110.196391534669,0.0451806173949551,6.94760734025299,0.915896186647246,1
"979","PmetTSAr1.1-000788",118.933087373223,64.8192964239388,431.694038942498,92.7843742375158,184.287959511921,94.7388911816045,98.9544156014104,69.0209289554943,-0.663853195702241,7.17428927677016,0.267022294471488,1
"980","PmetTSAr1.1-000789",71.9057454510045,66.6264157483722,78.1957910997649,74.1547712100254,64.8467559517081,62.7673150204366,50.7063258050175,91.7293414591722,-0.107199632488207,6.13288773026559,0.788512041902483,1
"981","PmetTSAr1.1-000791",636.949773799035,855.182189154407,360.823157714609,471.110772055545,443.60252884283,464.231765240356,532.520583495422,298.950191521736,-0.418146994132205,8.98863657041681,0.397619300712469,1
"982","PmetTSAr1.1-000792",249.097252598471,257.736690533943,306.171719774445,274.52090707476,279.275777447887,305.549721736416,287.780273077449,276.557905410221,0.0795405702920816,8.12746555920716,0.85913713574867,1
"983","PmetTSAr1.1-000798",236.926522814604,203.40461117311,234.254422850573,263.863431468944,239.896769783358,266.579114016323,222.470358780518,286.27879196922,0.113445196350751,7.93234012595817,0.79968574586822,1
"984","PmetTSAr1.1-000799",180.368425583696,178.104940631042,157.390433545695,188.981378459046,167.261157669853,163.88932298378,156.139651564752,134.090278008956,-0.181855186078177,7.37363259393802,0.675960437264246,1
"985","PmetTSAr1.1-000800",39.2416544869514,47.6961002022584,35.6732623630314,41.9026206233942,38.5095539534445,39.026599972564,43.8315979842879,39.6475183503889,-0.0311847193102719,5.34889636895717,0.925492898997178,1
"986","PmetTSAr1.1-000801",264.892354119444,234.80701254851,308.97801641367,220.394357738133,223.848103366259,214.226357955567,175.118066851675,211.514900222772,-0.319368442845594,7.8565865294189,0.477314465318103,1
"987","PmetTSAr1.1-000802",90.3855667772428,67.1892889805728,107.400301887633,63.0777099504366,99.4075409673112,77.3812929154713,60.1226196685622,67.2295460665731,-0.109109222683998,6.3051643323686,0.799416558505437,1
"988","PmetTSAr1.1-000803",115.308715636116,151.5906489037,106.163628792382,173.876294923243,132.301873036669,165.625082810394,155.723001393799,188.990894781189,0.232548212951728,7.21690482221291,0.600952319334591,1
"989","PmetTSAr1.1-000804",456.17864024455,418.36293605981,415.379466955138,468.45339624832,417.33778132049,425.149173015321,428.378873265643,316.363486956691,-0.147733434180301,8.70825728691844,0.747090615777382,1
"990","PmetTSAr1.1-000805",109.447077394622,95.0070766140639,103.595153902243,113.959463564558,111.036484353064,135.473254854546,93.7254559559464,149.238000966746,0.213942533323015,6.83286216452453,0.619344650828613,1
"991","PmetTSAr1.1-000806",154.058171492102,82.1202420873667,379.706204592107,93.3997665297152,233.339639712264,105.713372665998,32.9153635053113,124.527454646039,-0.514561236717868,7.23606373299403,0.405794569934642,1
"992","PmetTSAr1.1-000807",236.792286824341,244.316607682003,185.73878603685,215.583108908211,228.086690207796,192.613348501607,214.741498109334,179.138288892123,-0.115447190189015,7.72919205541452,0.795206881602327,1
"993","PmetTSAr1.1-000808",306.326529780695,277.526128381837,365.008820498538,325.178881673537,277.718006215528,205.071624676493,181.284489381784,234.381375922532,-0.503899878700406,8.08541736227548,0.268978059141001,1
"994","PmetTSAr1.1-000809",35.7962640701952,28.3510359587337,31.4875995791024,32.1122887020404,38.5820084293682,36.4509563588798,35.0819443942685,32.2712358665956,0.156582955171987,5.08012098636431,0.623024680316826,1
"995","PmetTSAr1.1-000810",49.622571067308,45.7112314360775,38.0990442037176,45.5670019996724,50.57322419474,48.3493100090517,46.2481689758171,49.8952822296588,0.123865565243983,5.54907366049931,0.706033148384529,1
"996","PmetTSAr1.1-000811",59.063835715822,52.169461152905,49.7998742587919,55.8048919517166,62.7455761499209,60.8915745626447,53.602044493143,65.9386966319092,0.165325213157917,5.84709386387433,0.637983336715531,1
"997","PmetTSAr1.1-000812",119.380540674101,90.3559662216697,143.596772098656,101.008253051453,115.85470700199,125.002703642395,120.516061948244,118.88986731914,0.0801537461592425,6.86892946488357,0.852507826818423,1
"998","PmetTSAr1.1-000813",149.852110463855,73.1438952791156,504.610187212534,81.0919206857276,188.236728449763,150.647155274295,49.5605378348959,227.16315663482,-0.393507478576013,7.47632078742502,0.541418786903754,1
