"","ID","F.1","F.2","W.2","W.4","F.3","F.4","W.1","W.3","logFC","logCPM","PValue","FDR"
"1","PmetTSAr1.1-006417",0.357962640701952,0.059249813915849,0.124995051285992,0.167834261508922,11.0493075783637,35.0073614655882,28.1081107406415,14.9896597617085,7.03913062738673,3.49381393947641,1.63142991532595e-34,2.73721311193389e-30
"2","PmetTSAr1.1-015168",1.61083188315878,1.36274572006453,0.416650170953307,2.37765203804306,28.8006541796692,55.6027249365117,29.7598821885478,26.7653678697642,4.61647701234472,4.19889630379277,8.34314259303772e-22,6.99906232129935e-18
"3","PmetTSAr1.1-004377",4.7877503193886,4.85848474109962,2.91655119667315,2.68534818414276,31.7712876925408,46.9460132697494,61.3395125824159,111.6189602994,4.04811501988727,5.06315200358677,7.66755906223746e-21,3.2161576486555e-17
"4","PmetTSAr1.1-015177",0.357962640701952,0.118499627831698,0.0416650170953307,0.643364669117535,8.62208263491985,22.5930661632532,9.46269066766617,17.0444813107652,5.65321430849467,2.88631577290376,7.50844975875102e-21,3.2161576486555e-17
"5","PmetTSAr1.1-019960",0.268471980526464,0.59249813915849,0.166660068381323,0.22377901534523,4.12990512765068,6.46875157516303,8.45483012318102,16.8864181146839,4.844061224901,2.23789679686951,2.61754759410331e-20,8.78344270677307e-17
"6","PmetTSAr1.1-015167",0.984397261930367,0.681372860032263,0.208325085476654,1.1468674536443,12.8606694764561,20.9758782694625,11.1984504942795,10.300451611297,4.2128388277139,2.87264030640803,1.69821509573082e-19,4.74877547936194e-16
"7","PmetTSAr1.1-005287",0.760670611491647,1.30349590614868,0.374985153857976,0.503502784526767,7.86131063772104,12.4142953023349,15.7898151969341,29.3997544711189,4.48260527894078,3.10723490437163,9.61927531267151e-19,2.30560287422861e-15
"8","PmetTSAr1.1-005278",4.0718250379847,2.36999255663396,0.520812713691634,2.48954154571568,29.2353810352114,54.889259689251,48.6852635238801,26.6336485396965,4.08739279254219,4.40242138152551,8.0038750114146e-16,1.67861268676893e-12
"9","PmetTSAr1.1-003384",4.02707970789696,2.28111783576019,1.04162542738327,3.3846576070966,18.4758913605425,44.2824096799764,25.000540728479,31.7707024123382,3.485426515234,4.0284758978198,1.44114236157083e-15,2.68660961582616e-12
"10","PmetTSAr1.1-006630",3.89284371763372,1.89599404530717,2.89571868812548,3.35668523017844,16.447166034679,19.3111260258544,21.4170365703095,38.0932302555896,2.98773530897431,3.75220750782838,1.97276222051079e-15,3.00900041233909e-12
