"","ID","U.1","U.3","R.1","R.2","U.2","U.4","R.3","R.4","logFC","logCPM","PValue","FDR"
"374","PmetTSAr1.1-001867",64.2093090330852,181.041441780702,65.5340937140695,31.6877872131004,629.431945304089,352.353545386832,103.945597121023,139.003539480666,1.83833307193271,7.6142273185437,0.00216638159306303,0.100157497662173
"375","PmetTSAr1.1-016183",35.2511013529114,39.4627771455769,28.9333747081985,31.0353915940071,217.887041596199,50.3216093847087,41.7041381333402,59.3955955749092,1.45500051612601,5.97797804281507,0.00220052428625224,0.1014647078229
"376","PmetTSAr1.1-003821",41.7891727012103,58.7040318645345,113.467051147318,36.9069521658463,15.143237177818,27.7859835017192,35.841952678748,29.5620142574009,-1.211292418556,5.49147249941484,0.00222743026641066,0.10243217217156
"377","PmetTSAr1.1-007352",4.16802048454053,11.4551283552455,1.20555727950827,5.03276620443359,18.303564936667,12.6826820400485,18.098022208808,12.7248565307448,1.49943925910659,3.39214262801996,0.00224717307496685,0.102720609534197
"378","PmetTSAr1.1-014307",16.1544846230885,36.7740428617051,7.40212169618078,15.1293650713528,130.451306934711,22.6719988081513,52.8776996709521,29.3680377858957,1.64085597322087,5.28102006915722,0.00225152455112259,0.102720609534197
"379","PmetTSAr1.1-015304",23.2373952504122,27.5035111121054,13.8156864231648,31.6567207550483,56.27139148395,35.593333467233,45.1663684689383,55.5936567334062,1.00160585241011,5.17593246167524,0.00224503500961333,0.102720609534197
"380","PmetTSAr1.1-017916",15.4461935603561,8.4863175834704,6.60645389170532,19.8514666952658,24.8875811009357,20.4900320055623,36.7861973157293,28.4369507226705,1.13456175114452,4.33405383848744,0.00229896112579053,0.104608781121169
"381","PmetTSAr1.1-000469",43.5054164301387,89.5684608314797,23.1225886209686,111.808182529361,272.53437575963,113.359994040756,174.76394489462,175.432320829353,1.45765624807693,6.97208832354329,0.00231588979429539,0.104695737603373
"382","PmetTSAr1.1-001368",29.7209826708086,36.5219740225921,29.8013759494444,30.1655307685495,154.109871684983,55.0264753027912,53.7826007813925,37.3986637062133,1.25036761367491,5.73751613301407,0.00231677381317497,0.104695737603373
"383","PmetTSAr1.1-022237",6.23840974483517,7.47804222701848,4.48467307977076,3.60370913403887,13.7386470627741,13.8759451352144,12.3538673338385,6.71158591408184,1.09734016786207,3.10596230768492,0.00231903692684587,0.104695737603373
"384","PmetTSAr1.1-000278",58.8698840986411,49.0974083294509,58.3730834737904,181.210649817661,317.612939764323,94.6087168310072,254.15918145413,343.687512213012,1.53917306501373,7.40715658326308,0.00234212025649678,0.105311062377917
"385","PmetTSAr1.1-000949",32.8538085252018,40.9471825314645,23.4601446592309,54.8633649199366,135.060118249699,49.3329056772856,82.4640316296991,76.698296833178,1.17525851426306,5.95417796289511,0.00234484755164525,0.105311062377917
"386","PmetTSAr1.1-019880",5.775296357664,5.96562919234058,6.46178701816433,7.30061764223391,16.6795076161474,7.94372289067556,12.4325543869203,13.694738888271,0.991581880058571,3.25965184934608,0.00235137468501997,0.105330620929224
"387","PmetTSAr1.1-014933",8.69018650044725,6.97390454879251,3.47200496498382,74.6837651571503,226.007328198797,85.5740105390372,122.161649909454,42.9463907912636,2.34517077277349,6.15655847065545,0.00235973048100713,0.105431782292233
"388","PmetTSAr1.1-005561",8.98984810391095,10.8669677306486,9.4033467801645,7.17635181002568,10.5344258628299,14.9328353052184,36.4321055768614,19.1648753847192,1.15320931571577,3.88136656671651,0.00239842991638427,0.105678478758756
"389","PmetTSAr1.1-007311",2.887648178832,2.46467309354916,1.13322384273777,9.35100387366982,30.6376218843971,4.15937421743527,9.3637593167311,13.7723294768731,1.87133954042104,3.20876879501329,0.00237977908161121,0.105678478758756
"390","PmetTSAr1.1-014934",7.90016954586114,7.92616460766378,4.14711704150845,77.7904109623562,226.007328198797,88.7787742803398,123.617360391467,45.3129037436277,2.30687837156263,6.18404262347065,0.00240575082610475,0.105678478758756
"391","PmetTSAr1.1-016142",3.89560084502808,6.02164448992124,4.34000620622977,32.1227176258292,48.9850802621592,17.2852682642597,76.2870979627799,28.863698959982,1.88627142921492,4.76846357926566,0.00240107324167405,0.105678478758756
"392","PmetTSAr1.1-023609",2.91489014278325,2.15658895685552,1.97711393839356,4.722101623913,8.95426198340545,3.3411366664644,3.54091738867983,18.6605365588056,1.55108109770638,2.54153035479495,0.00240803427395464,0.105678478758756
"393","PmetTSAr1.1-026082",2.99661603463698,2.66072663508148,2.91744861641001,4.84636745612123,3.29200808213436,4.56849299292071,17.1931210983676,10.9014776985954,1.42172151842709,2.63616086625639,0.00239893114781532,0.105678478758756
"394","PmetTSAr1.1-028288",0.599323206927397,2.80076487903314,0.988556969196781,2.60958247637297,5.8378276656516,3.23885697259304,4.24910086641579,4.30627766741667,1.33401613603393,1.64173725530466,0.00237203630674127,0.105678478758756
"395","PmetTSAr1.1-005901",5.55736064605404,4.08911672338838,3.44789381939365,32.8372461610266,24.7559007776504,21.0355237062095,76.4444720689434,54.1582308442673,1.94162422826354,4.7983181892156,0.00241653063256269,0.105782863715548
"396","PmetTSAr1.1-000707",13.1306266245002,14.8440538588756,12.248461959804,19.9757325274741,27.3017203611676,20.0468199987864,41.1533287617678,29.9111719061104,0.976110035961902,4.48373831482857,0.00245625960234417,0.106916454636014
"397","PmetTSAr1.1-007296",7.24636241103125,11.7912201407295,3.52022725616415,13.7003080009581,49.9068425251569,14.0123180603762,20.8127255401292,13.6171482996689,1.43947966962679,4.07539557911023,0.00245649967528663,0.106916454636014
"398","PmetTSAr1.1-020132",1.1441624859523,1.06429065403259,0.409889475032812,9.2888709575657,14.7043027668668,2.93201789097896,19.5537326908208,23.4323577578349,2.34871628047244,3.18474927417234,0.00246097674773776,0.106916454636014
"399","PmetTSAr1.1-015664",4.71285976356544,4.45321615766269,5.40089661219705,5.74729473963095,9.12983574778595,6.71636656421925,17.2718081514494,9.54364239805857,1.06957879656778,2.98540106315707,0.00247216670779653,0.107133419911052
"400","PmetTSAr1.1-008367",2.09763122424589,2.52068839112982,3.01389319877067,4.93956683027741,7.63745875055171,3.64797574807848,8.26214057358627,8.34098827472599,1.14918437257924,2.35089977475002,0.00250210802330359,0.108159874577356
