"","ID","U.1","U.3","U.4","R.4","U.2","R.1","R.2","R.3","logFC","logCPM","PValue","FDR"
"1","PmetTSAr1.1-008290",16.3179364067959,12.7434801996008,22.3310664952468,3.06482824978304,2.63360646570749,2.89333747081985,2.48531664416474,2.87207743748475,-2.32153264318799,3.04325854866028,1.58552385063164e-06,0.0274152929012718
"2","PmetTSAr1.1-013353",3.56869727761313,3.05283371814612,3.51160282291666,3.4139858984925,217.404213744153,5.06334057393473,5.28129786885006,3.6196044417616,4.0922844590604,4.9363276575132,6.89027244980096e-05,0.440137888794829
"3","PmetTSAr1.1-014155",2.5879865753683,3.02482606935579,2.38652619033171,9.58243769235962,905.565583233519,3.97833902237729,4.22503829508005,4.72122318490644,5.70644300209439,6.87043275285732,7.63642164353991e-05,0.440137888794829
"4","PmetTSAr1.1-001905",45.7392574741409,24.3666544475883,41.1505301675768,93.1087063225227,26.2921712159797,9.30690219780384,15.6574948582378,14.4390742405055,-1.63795781300194,5.07948656585442,0.000171781781854027,0.742569697509494
"5","PmetTSAr1.1-010252",0.681049098781133,13.947809097585,30.9225607804409,19.6304189163319,2.45803270132699,1.3261130074591,3.63477559209093,3.42288680905717,-2.58708795423638,3.25705566723226,0.000226505563238749,0.783301538792242
"6","PmetTSAr1.1-002002",57.3715760813226,43.2998250298523,56.3220180918284,22.1909083402012,10.9294668326861,20.7114740619521,13.1721782140731,23.8815206103184,-1.38277496031719,4.95693577427119,0.000370896316546598,0.801646026175903
"7","PmetTSAr1.1-009817",0.708291062732378,2.4086577959685,2.21606003387945,4.22868707881457,88.1819231601057,0.482222911803308,5.65409536547477,12.3145238072976,3.47816911416305,3.86122683127004,0.000348210197898021,0.801646026175903
"8","PmetTSAr1.1-015303",1.98866336844091,2.49268074233949,1.90922095226537,3.87952943010511,10.1832783340689,3.64078298411497,6.52395619093243,7.12117830390054,1.41816975083443,2.25250644504103,0.000308888756947848,0.801646026175903
"9","PmetTSAr1.1-009174",0.435871423219925,1.26034419556491,1.43191571419903,4.07350590161037,10.0515980107836,2.86922632522968,9.94126657665894,5.35071960956063,1.97522295973582,2.16115762015939,0.000456742936665616,0.877504679765018
"10","PmetTSAr1.1-009807",3.84111691712559,2.43666544475883,3.06839081614077,4.38386825601877,2.06299173147086,3.80956100324613,28.6122078659465,33.5206846128357,2.30745965002336,3.36064761903902,0.000541733970728199,0.936712208786129
"11","PmetTSAr1.1-005847",1.7434856928797,3.08084136693645,3.03429758485032,1.7457882435473,7.24241778069559,4.65345109890192,6.0890257782036,4.40647497257934,1.21667541468959,2.02063086509346,0.000631543435794908,0.992728868029977
"12","PmetTSAr1.1-000001",812.818478413306,372.221652423504,1404.1638239286,7358.92419478918,5008.02216174826,23.8218118430834,1954.39087605504,1326.82108906487,-0.259046968592417,11.1565122530451,0.787788328266451,1
"13","PmetTSAr1.1-000002",13575.4606538601,19747.072856111,35492.622062001,39678.7019475803,141050.256155951,3384.7708402386,3602.68394092315,66562.0470418238,0.984034822493516,15.301593424888,0.245547162099042,1
"14","PmetTSAr1.1-000003",120.709142267968,4342.89402907757,23572.7078856138,13048.4868758041,39109.4949501671,205.49929386498,4011.5495953463,20400.5627560869,0.633302074669407,13.677445827201,0.559625698951972,1
"15","PmetTSAr1.1-000004",1766.61412027431,1368.28567400285,2518.56927511964,6114.68151596587,2972.28825719747,794.148802303278,4566.36546969803,4931.55367779402,0.172668332707655,11.6115371114623,0.767888175757911,1
"16","PmetTSAr1.1-000005",5357.67705029141,8214.86745139451,13756.7211053917,15014.6323909814,56733.1065908296,1471.88899369724,1559.9711246261,25664.8839813637,1.0125854780659,13.9632340172873,0.225410579641552,1
"17","PmetTSAr1.1-000006",5017.1252589369,4956.03747639551,5181.28473213531,4694.61856337019,4103.90506207088,5856.71781957912,5806.25887701376,5214.00085483105,0.080005643249489,12.3173589675307,0.843273152088462,1
"18","PmetTSAr1.1-000007",5563.38112008727,5792.00977748932,6715.37786051183,7468.13294824664,8671.63211619394,4844.89359488783,2617.5976225504,5201.4502698645,-0.259437683561417,12.5165286535528,0.567903885696867,1
"19","PmetTSAr1.1-000008",57.4805439371276,19.4933235580706,102.859278803297,1422.31307966514,1858.3166156443,5.13567401070523,1117.86436008725,1322.611331725,1.42565263136131,9.52803784710299,0.21069511463977,1
"20","PmetTSAr1.1-000009",1608.09313204201,1539.80451519484,1648.81685166889,1943.37267742255,1816.04723186969,1572.19135935232,1991.76382509167,2101.21972196915,0.150506341564006,10.795815963899,0.709080837296658,1
"21","PmetTSAr1.1-000010",611.173461246188,612.359233151805,652.817192749595,747.274958826846,763.263047203125,654.280046734728,809.99576079134,814.529029975983,0.213490211087141,9.46816058441124,0.590345127467279,1
"22","PmetTSAr1.1-000011",585.429805312261,587.964571055426,632.12260135629,714.454139848157,721.1692371929,607.215090542725,778.090508371875,767.592202812705,0.189685532720908,9.39728020073323,0.632702102605192,1
"23","PmetTSAr1.1-000012",37.2942486492548,36.8860734568664,172.068538322917,798.756314364341,579.568996220027,45.5459540198224,193.1091032516,301.646817988981,0.0998250310911617,8.08022848885801,0.904136168365318,1
"24","PmetTSAr1.1-000013",21.2487318819713,21.1737824854905,68.5955813563915,266.290900082415,221.222943119429,23.4360335136408,123.737702421352,182.435932570093,0.545904927755895,6.85862572373474,0.459195894569307,1
"25","PmetTSAr1.1-000014",21.7390872330937,20.9217136463775,66.822733329288,264.040773012954,228.50925434122,23.5565892415916,122.929974511998,182.278558463929,0.577222655192806,6.86274439840668,0.434017051622433,1
"26","PmetTSAr1.1-000015",23.4008470341197,21.4258513246035,67.4023182612257,260.471605937257,223.944336467327,24.1111455901654,125.539556988371,176.731121221664,0.562307630682677,6.85065922528227,0.43901932340674,1
